epoch,loss,accuracy
1,0.13033318519592285,0.9598333239555359
2,0.04902375862002373,0.9845166802406311
3,0.034125734120607376,0.9889166951179504
4,0.02632724680006504,0.9914833307266235
5,0.024426041170954704,0.9921833276748657
6,0.019971778616309166,0.993483304977417
7,0.015181437134742737,0.9949666857719421
8,0.016844315454363823,0.994350016117096
9,0.015411744825541973,0.994783341884613
10,0.013047699816524982,0.9960500001907349
11,0.012292521074414253,0.9956833124160767
12,0.008395753800868988,0.9969833493232727
13,0.010601961053907871,0.9967833161354065
14,0.010059320367872715,0.9969333410263062
15,0.00980669166892767,0.9968166947364807
