epoch,loss,accuracy
1,0.1548885703086853,0.95169997215271
2,0.056199267506599426,0.9833166599273682
3,0.0413295179605484,0.9866999983787537
4,0.03498052433133125,0.9891666769981384
5,0.03217430040240288,0.989633321762085
6,0.025589657947421074,0.9919333457946777
7,0.02487400360405445,0.9917666912078857
8,0.021034713834524155,0.9933333396911621
9,0.02005273662507534,0.9931833148002625
10,0.017274633049964905,0.9941999912261963
11,0.0162615105509758,0.9947166442871094
12,0.015913018956780434,0.9952333569526672
13,0.014702994376420975,0.9954500198364258
14,0.015218053013086319,0.9950666427612305
15,0.011999626643955708,0.9964166879653931
16,0.012175044976174831,0.9959999918937683
17,0.013002121821045876,0.9960166811943054
18,0.011590760201215744,0.996233344078064
19,0.00939889345318079,0.9967166781425476
20,0.012481325305998325,0.996150016784668
21,0.01157062966376543,0.9963833093643188
22,0.008081521838903427,0.9973499774932861
23,0.010950473137199879,0.996566653251648
24,0.00932743027806282,0.9969499707221985
25,0.01047841552644968,0.9965166449546814
26,0.008564951829612255,0.9971833229064941
27,0.009034725837409496,0.997083306312561
28,0.009839365258812904,0.997083306312561
29,0.00920449011027813,0.9971333146095276
30,0.008289665915071964,0.9975166916847229
