epoch,loss,accuracy
1,0.15276850759983063,0.9519666433334351
2,0.055235616862773895,0.9828500151634216
3,0.04093584418296814,0.9869999885559082
4,0.034517716616392136,0.9889500141143799
5,0.027747415006160736,0.9905833601951599
6,0.0275803804397583,0.9907833337783813
7,0.022458042949438095,0.9926166534423828
8,0.022631492465734482,0.9926333427429199
9,0.01779073290526867,0.9941666722297668
10,0.016600370407104492,0.994350016117096
11,0.0183077584952116,0.9942833185195923
12,0.01510344073176384,0.9952666759490967
13,0.0143822580575943,0.9956333041191101
14,0.014430583454668522,0.9952666759490967
15,0.013837163336575031,0.9957166910171509
