epoch,loss,accuracy
1,0.16029295325279236,0.9506499767303467
2,0.0574762336909771,0.9824666380882263
3,0.042788948863744736,0.9867833256721497
4,0.03398912772536278,0.9891166687011719
5,0.0288295466452837,0.9905666708946228
6,0.02684113197028637,0.9915833473205566
7,0.02150152251124382,0.9931666851043701
8,0.021808473393321037,0.9927833080291748
9,0.017590943723917007,0.9940999746322632
10,0.018537336960434914,0.9942166805267334
11,0.017515510320663452,0.994533360004425
12,0.014253480359911919,0.9954833388328552
13,0.013319212011992931,0.9957666397094727
14,0.01587037369608879,0.9952499866485596
15,0.011635602451860905,0.9960833191871643
16,0.013182330876588821,0.9955999851226807
17,0.011989024467766285,0.996066689491272
18,0.012074793688952923,0.9959499835968018
19,0.00938482116907835,0.9968833327293396
20,0.010948831215500832,0.9961333274841309
