epoch,loss,accuracy
1,0.17830264568328857,0.9448666572570801
2,0.06032634526491165,0.9817166924476624
3,0.04267967864871025,0.9868999719619751
4,0.03294583410024643,0.989633321762085
5,0.028093993663787842,0.9912999868392944
6,0.02626861445605755,0.9916499853134155
7,0.02099205181002617,0.9930833578109741
8,0.020687108859419823,0.9932166934013367
9,0.018364017829298973,0.9939166903495789
10,0.01768684946000576,0.9943833351135254
11,0.015848413109779358,0.9944166541099548
12,0.012890425510704517,0.9958833456039429
13,0.014275443740189075,0.9951833486557007
14,0.0130683034658432,0.9956166744232178
15,0.012676284648478031,0.9956333041191101
16,0.0122621925547719,0.9959499835968018
17,0.009352498687803745,0.9967333078384399
18,0.011118832044303417,0.9965500235557556
19,0.011643157340586185,0.9963833093643188
20,0.010341623798012733,0.9967166781425476
