epoch,loss,accuracy
1,0.14889201521873474,0.9541500210762024
2,0.055677540600299835,0.9825999736785889
3,0.04029341787099838,0.9875166416168213
4,0.03346945345401764,0.989549994468689
5,0.026760481297969818,0.9912333488464355
6,0.026032600551843643,0.991433322429657
7,0.022700659930706024,0.9922166466712952
8,0.021808447316288948,0.992983341217041
9,0.016973061487078667,0.994350016117096
10,0.01756931282579899,0.9943166375160217
11,0.01621195301413536,0.994866669178009
12,0.015093970112502575,0.9952666759490967
13,0.014939441345632076,0.9949833154678345
14,0.013632996007800102,0.9957333207130432
15,0.011766585521399975,0.9960500001907349
