epoch,loss,accuracy
1,0.1474555879831314,0.9578333497047424
2,0.06156301498413086,0.9828500151634216
3,0.04330133646726608,0.9870499968528748
4,0.038244426250457764,0.9889333248138428
5,0.029831482097506523,0.9908666610717773
6,0.027222750708460808,0.9919666647911072
7,0.022690948098897934,0.992733359336853
8,0.019478846341371536,0.9939166903495789
9,0.017858101055026054,0.9947166442871094
10,0.018908709287643433,0.9940166473388672
11,0.015740182250738144,0.9951333403587341
12,0.014813280664384365,0.9953833222389221
13,0.013112422078847885,0.9960500001907349
14,0.013173532672226429,0.9958333373069763
15,0.012828640639781952,0.9959333539009094
