epoch,loss,accuracy
1,0.1338488608598709,0.9587166905403137
2,0.056078553199768066,0.9835000038146973
3,0.03889849781990051,0.9879666566848755
4,0.03049875609576702,0.9904500246047974
5,0.027785157784819603,0.9909666776657104
6,0.02333972416818142,0.9925833344459534
7,0.019616156816482544,0.9937666654586792
8,0.016962606459856033,0.9943333268165588
9,0.015924489125609398,0.9949166774749756
10,0.015463649295270443,0.9952999949455261
11,0.015135163441300392,0.9950666427612305
12,0.013295863755047321,0.9960333108901978
13,0.01362115703523159,0.9960333108901978
14,0.012096588499844074,0.9964333176612854
15,0.012561912648379803,0.9964500069618225
