epoch,loss,accuracy
1,0.2836754024028778,0.9127166867256165
2,0.10334506630897522,0.9693999886512756
3,0.07801763713359833,0.9767166376113892
4,0.07010186463594437,0.9784833192825317
5,0.06124885007739067,0.9818999767303467
6,0.05430763214826584,0.9833499789237976
7,0.048244722187519073,0.9851999878883362
8,0.04577536880970001,0.9858666658401489
9,0.04247597977519035,0.9869833588600159
10,0.03980907425284386,0.98826664686203
11,0.03753853589296341,0.9883333444595337
12,0.038588497787714005,0.9879000186920166
13,0.03491470217704773,0.9893500208854675
14,0.033636000007390976,0.9899500012397766
15,0.03338036313652992,0.9905666708946228
